ChanceAustin,@GovMikeHuckabee Yes and you support this right? https://t.co/9d0PzQ2KbN,,Sat Aug 04 09:02:55 +0000 2018
SHRIKRISHNARO1,"Drinking impure, contaminated water is the leading cause of epidemic disease in developing countries.

#shrikrishnasales #jaipur #cleanwaterjaipur #household #family #familycare #Waterpurifying #technologies #waterborne #diseases #bacteria #viruses #cysts #protozoa #algae #fungi https://t.co/I1v1pUJnp3",,Thu Aug 02 12:36:14 +0000 2018
AlleyDeLeo,@Karhods54 @NBCNews @NBCNightlyNews Well it has more to do with people not washing their hands before handling food. Or washing hands/produce and so on in contaminated water . This wouldn’t be such an issue if people followed simple hygiene guidelines and water being used would be tested more regularly .,,Thu Aug 02 12:34:59 +0000 2018
ltgrusselhonore,RT @RealCoastal: Potentially contaminated water spill at Clean Harbors Colfax under investigation https://t.co/SHmOBxSfe3,Potentially contaminated water spill at Clean Harbors Colfax under investigation https://t.co/SHmOBxSfe3,Thu Aug 02 12:34:53 +0000 2018
XiaoxianHu,"https://t.co/ARJUwPphjE
@GetTheDisease The company has ethical issue: a class-action lawsuit was filed against PG&amp;E for health problems allegedly arising from chromium-contaminated water.",,Thu Aug 02 12:29:17 +0000 2018
pas5974,RT @kelleyroot: BREAKING: Snyder dismissed from Flint contaminated water class-action lawsuit https://t.co/ykbdQX8pah via @detroitnews ⁦@DN…,BREAKING: Snyder dismissed from Flint contaminated water class-action lawsuit https://t.co/ykbdQX8pah via @detroitnews ⁦@DNBethLeBlanc⁩,Thu Aug 02 12:25:27 +0000 2018
constanthiker,"Not many photos recently. The focus has been on getting over illness after my accidentally drinking contaminated water. Yesterday, just to compound problems, a new situation developed.… https://t.co/UmXEOSrm2V",,Thu Aug 02 12:23:47 +0000 2018
motinka,"Michigan has identified dozens of PFAS-contaminated sites around the state #publichealth #environmentalhealth
https://t.co/Fq33AaF92K",,Thu Aug 02 12:22:32 +0000 2018
Lgary702,"Once Polluted and Reviled, the Chicago River Bounces Back   via @NYTimes. The Trump/Putin/NRA/Republicans will insure that the Chicago River becomes extremely contaminated again. One thing Republicans hate is clean, drinkable water. https://t.co/fkoxE6uG44",,Thu Aug 02 12:22:18 +0000 2018
paulinepisano,Crown Immunity strikes again.  “Snyder dismissed from Flint contaminated water class-action lawsuit” https://t.co/NxchkPeNle via @detroitnews VOTE @AbdulElSayed he wants to kick #nestle out of Michigan.,,Thu Aug 02 12:19:07 +0000 2018
Serabbi,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 12:14:59 +0000 2018
ErinMaloneyPE,"RT @frontlinepbs: The death toll in Flint, Michigan, from contaminated water may be much higher than state health officials have acknowledg…","The death toll in Flint, Michigan, from contaminated water may be much higher than state health officials have acknowledged, a FRONTLINE investigation found. https://t.co/lffeUmb1Hg",Thu Aug 02 12:14:46 +0000 2018
patrici61580698,"RT @Sara520S: @nw_nicholas Only 1% is reported, rest goes unreported, Israel is really an apartheid state. Poor Palesnians, living with con…","@nw_nicholas Only 1% is reported, rest goes unreported, Israel is really an apartheid state. Poor Palesnians, living with contaminated water, without freedom and only 4hrs of electricity, really heartbreaking. No wonder they want to ban criticism of Israel.",Thu Aug 02 12:09:17 +0000 2018
ollj,RT @Foone: They then tried to move back to the Bikini atoll only to find that the scientists were wrong and the radiation levels were still…,"They then tried to move back to the Bikini atoll only to find that the scientists were wrong and the radiation levels were still dangerous, the water table was contaminated with Strontium-90, the Coconut trees were producing coconuts full of radioactive Cesium.",Thu Aug 02 12:03:48 +0000 2018
Neverthirst,"Children in Nepal play near a contaminated hand pump. More than 3 million people in this country don’t have access to clean, safe water.  Help us change their future.
https://t.co/h7JX1PmXrR
#Neverthirst #Nepal #CleanWater #Handpump #EndtheWaterCrisis #UntilAllAreServed https://t.co/23jq2yuFML",,Thu Aug 02 12:00:43 +0000 2018
AClerisy,"@CampWonderwall Do you have unclean water to filter? If so, what's it contaminated with? I can probably build some specialized filters.",,Thu Aug 02 11:57:40 +0000 2018
DSchmldt,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 11:57:06 +0000 2018
TheLuxuryRep,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Thu Aug 02 11:55:43 +0000 2018
plegault,"RT @WindConcernsONT: Appeal of  N Stormont  unnecessary, environmentally risky, unwanted $500M 100-MW Nation Rise wind power project halted…","Appeal of  N Stormont  unnecessary, environmentally risky, unwanted $500M 100-MW Nation Rise wind power project halted temporarily while documents sorted. With 1000s of unanswered noise complaints, contaminated water, surplus pwr project shd be halted. @fordnation @ONenvironment https://t.co/HthpZkkWyU",Thu Aug 02 11:54:34 +0000 2018
futuritymom,"RT @dananessel: Over 11,000 sites around Michigan found to be contaminated with #PFAS, poisoning our drinking water in communities all over…","Over 11,000 sites around Michigan found to be contaminated with #PFAS, poisoning our drinking water in communities all over the state! Tired of me talking about this? Well guess who ISN’T talking about this critical issue? https://t.co/RdzhXxZlCA",Thu Aug 02 11:51:20 +0000 2018
Secretoriginz,"RT @frontlinepbs: The death toll in Flint, Michigan, from contaminated water may be much higher than state health officials have acknowledg…","The death toll in Flint, Michigan, from contaminated water may be much higher than state health officials have acknowledged, a FRONTLINE investigation found. https://t.co/lffeUmb1Hg",Thu Aug 02 11:46:21 +0000 2018
BenefitVBurden,"RT @frontlinepbs: The death toll in Flint, Michigan, from contaminated water may be much higher than state health officials have acknowledg…","The death toll in Flint, Michigan, from contaminated water may be much higher than state health officials have acknowledged, a FRONTLINE investigation found. https://t.co/lffeUmb1Hg",Thu Aug 02 11:44:48 +0000 2018
rmitchellll,RT @Earthjustice: Communities deserve to know when their water has been contaminated by  dangerous PFAS chemicals and what the EPA is doing…,Communities deserve to know when their water has been contaminated by  dangerous PFAS chemicals and what the EPA is doing about it. Tell @EPA to stop approving these chemicals and begin limiting their use immediately! TAKE ACTION &gt;&gt;&gt; https://t.co/D69HRiSJOc https://t.co/C4rORcMpdM,Thu Aug 02 11:43:06 +0000 2018
Sara520S,"@nw_nicholas Only 1% is reported, rest goes unreported, Israel is really an apartheid state. Poor Palesnians, living with contaminated water, without freedom and only 4hrs of electricity, really heartbreaking. No wonder they want to ban criticism of Israel.",,Thu Aug 02 11:42:45 +0000 2018
AdaMill84953949,RT @ScottWallacePA: Too many families in our community are suffering severe health effects due to contaminated water and polluted air. We c…,Too many families in our community are suffering severe health effects due to contaminated water and polluted air. We can no longer tolerate a government willfully destroying and defunding the institutions that protect our environment. https://t.co/he6kaGcjXj,Thu Aug 02 11:35:33 +0000 2018
NewsBossIndia,"Sarwanand Colony residents miffed over contaminated water, stage protest.. https://t.co/qJ8dv5WqSc",,Thu Aug 02 11:22:07 +0000 2018
MyP450,"RT @MonicaAmarelo: Drinking #TCE -contaminated water has been linked to birth defects; damage to the brain and the nervous, reproductive an…","Drinking #TCE -contaminated water has been linked to birth defects; damage to the brain and the nervous, reproductive and immune systems; and increased risk of cancer. #ChemicalSafety https://t.co/dErjM4cLIB",Thu Aug 02 11:20:06 +0000 2018
health2wealth,"I try my best to drink at least 1 gallon of water each day. This water is filtered and magnetized for great health. Drinking water that is contaminated with toxins, chemicals, wastewater,… https://t.co/SBrbkAsNrS",,Thu Aug 02 11:18:10 +0000 2018
DavidCWatson1,"RT @SkyPixWeather: Scientific confirmation that the surface water was contaminated by shit, for months after #Harvey...

 https://t.co/IF1Y…","Scientific confirmation that the surface water was contaminated by shit, for months after #Harvey...

 https://t.co/IF1YYirCbs",Thu Aug 02 11:15:10 +0000 2018
CoachZackPhD,"RT @ProgressMich: As more and more sites across Michigan are found to be contaminated, don’t forget that the Snyder administration willingl…","As more and more sites across Michigan are found to be contaminated, don’t forget that the Snyder administration willingly let this crisis continue to spread despite finding out about PFAS contamination 6 years ago. https://t.co/KXykJd3eCI",Thu Aug 02 11:12:19 +0000 2018
RinzenLhamo,RT @WinchesterD2017: Snyder dismissed from Flint contaminated water class-action lawsuit https://t.co/JBLDBwwTw8 via @detroitnews,Snyder dismissed from Flint contaminated water class-action lawsuit https://t.co/JBLDBwwTw8 via @detroitnews,Thu Aug 02 11:11:59 +0000 2018
maffychu,"It’s not only in the island but the water is so contaminated by all the human waste, it was an eye opening on how I live everyday and what can be done. I couldn’t kayak around without seeing trash.",,Thu Aug 02 11:06:13 +0000 2018
GGG_says,RT @LeeCamp: A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the…,"A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the water. ...As the corporate elite extract the last remaining resources &amp; gut regulations, the 99% will be left to drink polluted water &amp; eat rotten food.",Thu Aug 02 11:05:16 +0000 2018
therealbiostate,"Human/Ecological Tyranny: ~20% US water not potable: contains #PFOA, a more dangerous #PFAS; higher 28% of US ""water"" contaminated by wider perflourinated family (causes low infant birth weight, immune system prob., cancer, thyroid malfunction) https://t.co/kFw8aYwa1N #Teflon",,Thu Aug 02 11:01:38 +0000 2018
MagnusYarbrough,RT @LeeCamp: A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the…,"A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the water. ...As the corporate elite extract the last remaining resources &amp; gut regulations, the 99% will be left to drink polluted water &amp; eat rotten food.",Thu Aug 02 11:01:29 +0000 2018
GantMichael,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 11:01:10 +0000 2018
WHDISCH,"RT @ProgressMich: As more and more sites across Michigan are found to be contaminated, don’t forget that the Snyder administration willingl…","As more and more sites across Michigan are found to be contaminated, don’t forget that the Snyder administration willingly let this crisis continue to spread despite finding out about PFAS contamination 6 years ago. https://t.co/KXykJd3eCI",Thu Aug 02 10:55:54 +0000 2018
TheRealOpFlint,"RT @frontlinepbs: The death toll in Flint, Michigan, from contaminated water may be much higher than state health officials have acknowledg…","The death toll in Flint, Michigan, from contaminated water may be much higher than state health officials have acknowledged, a FRONTLINE investigation found. https://t.co/lffeUmb1Hg",Thu Aug 02 10:46:22 +0000 2018
Karthik66708070,"RT @raocheekati: https://t.co/JWleEKn7S2.

Read article #ground water status of tamilnadu n understand the truth about #sterlite #ReOpenSte…","https://t.co/JWleEKn7S2.

Read article #ground water status of tamilnadu n understand the truth about #sterlite #ReOpenSterlite @PMOIndia",Thu Aug 02 10:39:13 +0000 2018
yajouyatyoubot,"★2013年ユーキャン新語・流行語大賞の候補語50語★
【汚染水】

 「Contaminated water」

#英語#夜蝶#夜嬢",,Thu Aug 02 10:37:58 +0000 2018
NoHolidayforGOP,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 10:35:42 +0000 2018
crystalballmysk,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 10:29:49 +0000 2018
oshiyay,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 10:29:01 +0000 2018
brainbootcamp,"@thehill @911CORLEBRA777 Hannity is to journalism as lead contaminated water is to Flint. He might look legit, or even smell &amp; look bad at times, but will really harm you if swallowed.",,Thu Aug 02 10:27:11 +0000 2018
sunshinelaurie,"RT @jonmitchell_jp: Japan: Following 3.11 Fukushima meltdowns, US military dumped 120,000+ liters of radiation-contaminated waste water int…","Japan: Following 3.11 Fukushima meltdowns, US military dumped 120,000+ liters of radiation-contaminated waste water into sewers at Atsugi and Misawa bases - with Japanese govt approval. 
#日米地位協定と基地公害 https://t.co/q85XC7KvPK",Thu Aug 02 10:11:26 +0000 2018
DNANutri,RT @USDAFoodSafety: Cross-contamination played a large role in our study. About 50% of participants contaminated their spice containers due…,Cross-contamination played a large role in our study. About 50% of participants contaminated their spice containers due to improper hand washing. Remember to wash surfaces &amp; hands with warm soapy water before &amp; after handling raw foods to prevent cross-contamination. https://t.co/546qHjyolL,Thu Aug 02 10:07:58 +0000 2018
tga_tgoodfellow,RT @LeeCamp: A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the…,"A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the water. ...As the corporate elite extract the last remaining resources &amp; gut regulations, the 99% will be left to drink polluted water &amp; eat rotten food.",Thu Aug 02 10:05:15 +0000 2018
Shwento,RT @ChimpReports: Kabarole: Residents Decry Contaminated water https://t.co/v7lqYpGQY9,Kabarole: Residents Decry Contaminated water https://t.co/v7lqYpGQY9,Thu Aug 02 10:03:19 +0000 2018
LindaFleenor2,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 09:59:54 +0000 2018
mdg276,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 09:55:02 +0000 2018
dove_from_above,"I get sent a daily email of news stories that may or may not be relevant to what we're doing ourselves, and this morning this was one of the stories flagged.

https://t.co/pi7BCL5mDW",,Thu Aug 02 09:42:07 +0000 2018
KAIJUKING23,RT @44TheLegend: Snyder dismissed from Flint contaminated water class-action lawsuit https://t.co/tmRSu0JeLa via @detroitnews,Snyder dismissed from Flint contaminated water class-action lawsuit https://t.co/tmRSu0JeLa via @detroitnews,Thu Aug 02 09:40:55 +0000 2018
KAIJUKING23,RT @detroitnews: Snyder dismissed from Flint contaminated water class-action lawsuit. https://t.co/WmJSBXOebT https://t.co/yNrcKvcOQ9,Snyder dismissed from Flint contaminated water class-action lawsuit. https://t.co/WmJSBXOebT https://t.co/yNrcKvcOQ9,Thu Aug 02 09:40:53 +0000 2018
mssunshine68,"An unjust travesty!
Snyder dismissed from Flint contaminated water class-action lawsuit https://t.co/ffg8V4RxNT via @flintwater @justiceforflintresidents @detroitnews",,Thu Aug 02 09:28:32 +0000 2018
44TheLegend,Snyder dismissed from Flint contaminated water class-action lawsuit https://t.co/tmRSu0JeLa via @detroitnews,,Thu Aug 02 09:24:44 +0000 2018
diltiagem,RT @LeeCamp: A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the…,"A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the water. ...As the corporate elite extract the last remaining resources &amp; gut regulations, the 99% will be left to drink polluted water &amp; eat rotten food.",Thu Aug 02 09:23:53 +0000 2018
EllenAu69195476,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 09:03:42 +0000 2018
tomwoods55,"RT @jonmitchell_jp: Japan: Following 3.11 Fukushima meltdowns, US military dumped 120,000+ liters of radiation-contaminated waste water int…","Japan: Following 3.11 Fukushima meltdowns, US military dumped 120,000+ liters of radiation-contaminated waste water into sewers at Atsugi and Misawa bases - with Japanese govt approval. 
#日米地位協定と基地公害 https://t.co/q85XC7KvPK",Thu Aug 02 08:47:57 +0000 2018
missgoodluckco_,"RT @aproko_doctor: About Hepatitis
There are 5 types
A- gotten from contaminated food
B- gotten from contact with blood, semen, vaginal sec…","About Hepatitis
There are 5 types
A- gotten from contaminated food
B- gotten from contact with blood, semen, vaginal secretion.
C- Gotten through the same as B
D- is the brother of B, D can't multiply
E- from. Contaminated water.

Stop using another's toothbrush
Dont share sharps",Thu Aug 02 08:40:59 +0000 2018
Cmphiwe_nyembe,"@LehumaNthite @kuli_mathebula @African_Prince_ @AdvBarryRoux Yes I do know about water purification, but I don't know the exact processes. However, what I do know is that those people were no killed by water. Water has never been danger to anyones health unless contaminated with other chemicals or bacteria, or when you drown in it.",,Thu Aug 02 08:40:16 +0000 2018
thisisrandel,RT @nuII_dog: This is a funny image of a sink spewing fire but let me take advantage of your valuable attention to educate you why fracking…,"This is a funny image of a sink spewing fire but let me take advantage of your valuable attention to educate you why fracking (which causes contaminated flammable tap water) can literally fucking kill you and why it should really REALLY be more regulated
https://t.co/1feGAzwA3f",Thu Aug 02 08:24:53 +0000 2018
Gion_Gion,"The notion of healthy living on this polluted planet with is processed / contaminated food, water &amp; air is truly bizarre",,Thu Aug 02 08:17:05 +0000 2018
aynsleydamery,RT @B1G1: DID YOU KNOW the world loses 1800 children everyday from diarrhea due to contaminated water? But did you know we only need 8 #cof…,DID YOU KNOW the world loses 1800 children everyday from diarrhea due to contaminated water? But did you know we only need 8 #coffee shops to take action today to save those children? Be part of this movement and transform our world: https://t.co/mMI3CPJVAH #cafe #philanthropy https://t.co/vk5krAbEVV,Thu Aug 02 08:16:05 +0000 2018
Chakrapathnews,वर्षौंदेखि भेरीको दूषित पानी पिउँछन् नाम्रावासीhttps://t.co/dMCR69yDui,,Thu Aug 02 08:15:09 +0000 2018
Hairtrigga,"@Bolt_RSS yeah right, because it inconveniences shoppers its a stupid idea isnt it bolt?
What a tosser you are.
You clearly dont fish or get on the water much.
Do you understand by 2050 well have more plastic than fish in the ocean?
We're only eating plastic/pollution contaminated fish",,Thu Aug 02 08:07:50 +0000 2018
ChimpReports,Kabarole: Residents Decry Contaminated water https://t.co/v7lqYpGQY9,,Thu Aug 02 07:51:26 +0000 2018
hashudaipur,"4 dead, two dozen ill due to contaminated water in Chittorgarh - Times of India https://t.co/fFoEF4dprJ #Udaipur #News",,Thu Aug 02 07:49:14 +0000 2018
IDewolde,RT @WellingMichael: Water shortages in Venezuela leave many no choice but to bathe in contaminated river #Guaire in #Caracas Another succes…,"Water shortages in Venezuela leave many no choice but to bathe in contaminated river #Guaire in #Caracas Another success story from the Socialist Revolution 
 https://t.co/sWSzBK08Fh",Thu Aug 02 07:35:27 +0000 2018
CFSMotorRacing,@IGutteridge @Lakesidelive Good job its not Poole reading @ruthlesslambert tweets &amp;. looking at the amount of oil on the track there. I hate to think of the cost to rip up all that track and make sure the soil &amp; water course is not contaminated. Mega bucks I am sure &amp; could be treated like a petrol station,,Thu Aug 02 07:28:08 +0000 2018
MSmithWriter,"RT @storyofstuff: We are excited to unveil the first trailer for our latest movie, A Tale of Two Cities.

Since 2014, thousands of resident…","We are excited to unveil the first trailer for our latest movie, A Tale of Two Cities.

Since 2014, thousands of residents in Flint, Michigan have been living with contaminated tap water while Nestle bottles clean water less than two hours away.

https://t.co/MJFvnMBDNn https://t.co/O2fWqzFtOi",Thu Aug 02 07:24:41 +0000 2018
Munendra_Yadav,RT @indialegalmedia: #DelhiHC Delhi HC issued fresh notice to East Delhi Municipal Corporation &amp; North Delhi Municipal Corporation to file…,#DelhiHC Delhi HC issued fresh notice to East Delhi Municipal Corporation &amp; North Delhi Municipal Corporation to file a status report within one week on a PIL filed by ‘Refrigerated Water Licensed Association’ Seeking direction to put a total ban on the sale of contaminated..,Thu Aug 02 07:22:55 +0000 2018
dmanders29,"RT @ProgressMich: As more and more sites across Michigan are found to be contaminated, don’t forget that the Snyder administration willingl…","As more and more sites across Michigan are found to be contaminated, don’t forget that the Snyder administration willingly let this crisis continue to spread despite finding out about PFAS contamination 6 years ago. https://t.co/KXykJd3eCI",Thu Aug 02 07:19:41 +0000 2018
Jakarta_Wakiza,"My Alien Friend explains that his world finding us with negative energy, was like humans finding their world with contaminated water. Therefore as clean water is vital to our survival; positive energy was vital to their survival.",,Thu Aug 02 07:18:57 +0000 2018
vimalan08,Rivers and lakes  contaminated polluted and cities are running dry Also 70% rainwater wasted into the sea Following TV channels must take suo motu to telecast and educate India Please Tele Save Water slogans Bcoz water is life   @CNNnews18 @republic @NewsX @MirrorNow #SaveGanga,,Thu Aug 02 07:18:29 +0000 2018
vimalan08,Rivers and lakes  contaminated polluted and cities are running dry Also 70% rainwater wasted into the sea Following TV channels must take suo motu to telecast and educate India Please Tele Save Water slogans Bcoz water is life  @ndtv  @CNNnews18 @republic @NewsX @MirrorNow,,Thu Aug 02 07:18:17 +0000 2018
vimalan08,Water shortages had caused cities to vanished for thousands of years but now India not only facing shortage but also contaminated and polluted water Media please take self interest to educate citizens India which we borrowed from future generation @TimesNow @ndtv @NewsX,,Thu Aug 02 07:17:37 +0000 2018
vimalan08,Water shortages had caused cities to vanished for thousands of years but now India not only facing shortage bualso contaminated and polluted water Media please take self interest to educate citizens India which we borrowed from future generation @TimesNow @ndtv @NewsX #SaveGanga,,Thu Aug 02 07:17:21 +0000 2018
SandeepLohia12,RT @indialegalmedia: #DelhiHC Delhi HC issued fresh notice to East Delhi Municipal Corporation &amp; North Delhi Municipal Corporation to file…,#DelhiHC Delhi HC issued fresh notice to East Delhi Municipal Corporation &amp; North Delhi Municipal Corporation to file a status report within one week on a PIL filed by ‘Refrigerated Water Licensed Association’ Seeking direction to put a total ban on the sale of contaminated..,Thu Aug 02 07:16:51 +0000 2018
tylerpurrden,"RT @FlintMI1: @rain0874 @_SJPeace_ Unfortunately, here in Flint, some water IS STILL contaminated &amp; WE DON'T trust our local government! Th…","@rain0874 @_SJPeace_ Unfortunately, here in Flint, some water IS STILL contaminated &amp; WE DON'T trust our local government! Thier are still ongoing lawsuits &amp; illnesses!!!",Thu Aug 02 06:50:29 +0000 2018
thecocoapod_,RT @nuII_dog: This is a funny image of a sink spewing fire but let me take advantage of your valuable attention to educate you why fracking…,"This is a funny image of a sink spewing fire but let me take advantage of your valuable attention to educate you why fracking (which causes contaminated flammable tap water) can literally fucking kill you and why it should really REALLY be more regulated
https://t.co/1feGAzwA3f",Thu Aug 02 06:44:28 +0000 2018
blogger295,Research confirms fecal bacteria contaminated surface water after Hurricane Harvey Link https://t.co/c5DKZwEvqg,,Thu Aug 02 06:30:40 +0000 2018
gregorylh411,@myizonorion @DandeLion1313 @larry_kudlow @jaketapper So the issue had nothing to do with Obama.   No law or act caused it. Rolling back regulations in coal areas means lead contaminated water which will be a direct result of Trump.   Think it through and you'll understand.,,Thu Aug 02 06:26:09 +0000 2018
cri_tque,RT @LeeCamp: A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the…,"A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the water. ...As the corporate elite extract the last remaining resources &amp; gut regulations, the 99% will be left to drink polluted water &amp; eat rotten food.",Thu Aug 02 06:20:59 +0000 2018
wallbrownf,RT @LeeCamp: A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the…,"A state of emergency was declared in yet another Michigan city due to contaminated water. No one in Kalamazoo should drink the water. ...As the corporate elite extract the last remaining resources &amp; gut regulations, the 99% will be left to drink polluted water &amp; eat rotten food.",Thu Aug 02 06:14:53 +0000 2018
miaokuancha,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 06:14:53 +0000 2018
DDupre9,"RT @exoticgamora: Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemic…","Reports just released that ground water in Satellite Beach is contaminated with cancer causing chemicals

The same chemicals used in military firefighting foam at Patrick Air Force base

Local officials &amp; community had been raising alarm about the unusual number of cancer cases https://t.co/dpo7xyURpI",Thu Aug 02 06:12:05 +0000 2018
akshaychandorka,"RT @girishs2: Ground water in 38 per cent of the blocks in West Bengal is contaminated with arsenic and fluoride, according to the West Ben…","Ground water in 38 per cent of the blocks in West Bengal is contaminated with arsenic and fluoride, according to the West Bengal Pollution Control Board",Thu Aug 02 06:10:13 +0000 2018
Lovinmyjesus1,"I liked a @YouTube video https://t.co/MRTBiWKXL8 MICHIGAN - 🚨STATE OF EMERGENCY🚨/""CONTAMINATED"" WATER | TheRealEvvonne",,Thu Aug 02 06:00:06 +0000 2018
RealCoastal,Potentially contaminated water spill at Clean Harbors Colfax under investigation https://t.co/SHmOBxSfe3,,Thu Aug 02 05:43:49 +0000 2018
nwarikoo,"In her ruling, Judge Levy also dismissed race, civil rights and negligence claims in the Flint water crisis. The lawsuits claimed the contaminated water violated civil rights of many in the black-majority city.  

 https://t.co/X6shsTgnWs https://t.co/7BQdVjSSd3",,Thu Aug 02 05:42:30 +0000 2018
taakulosom,"The villagers living in Gawsaweyne, Sanaag region initial source of water was contaminated water that accumulated in a water well.
@unicefsomalia have funded a water project which provides the community with clean water, powered by #solarpower 
#SustainSomaliSupport #WithSomalia https://t.co/MWhY5lIuiR",,Thu Aug 02 05:35:46 +0000 2018
Bohemiaaah,RT @nuII_dog: This is a funny image of a sink spewing fire but let me take advantage of your valuable attention to educate you why fracking…,"This is a funny image of a sink spewing fire but let me take advantage of your valuable attention to educate you why fracking (which causes contaminated flammable tap water) can literally fucking kill you and why it should really REALLY be more regulated
https://t.co/1feGAzwA3f",Thu Aug 02 05:34:31 +0000 2018
FemalesEnvyMe,Tried to go kayaking and the water is contaminated since the beginning of July 😷🤮,,Thu Aug 02 05:14:03 +0000 2018
Jaya91300454,"RT @HistoryInPix: Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO","Luxury Hotel Del Salto, built 1924 - abandoned due to contaminated river water. https://t.co/RuJm8uCoBO",Thu Aug 02 04:59:50 +0000 2018
robinboening,"@dotmariusz @bastianalbers They were built for humans, but the ground water quality is not guaranteed. The intention was to have independent water supplies in cases of emergency when tap water is contaminated.",,Thu Aug 02 04:59:43 +0000 2018
EARTHHUMAN001,"@J9naps @TeodroseFikre Your theory is not a popular one. If it were true, they'd be doing a rather poor job, given the state of things. Not that they'd need to change our weather. The food &amp; water are already contaminated &amp; controlled. That would be overkill, I think.",,Thu Aug 02 04:58:52 +0000 2018
